lsoacode,hpmd202003,hpmd202103
E01012922,249586,275574
E01012923,238153,305533
E01012924,263113,288403
E01012925,306798,330428
E01012926,180619,223572
E01012927,249714,264500
E01012928,128354,93806
E01012929,128227,123904
E01012930,148387,171315
E01012931,102143,116250
E01012932,136180,155931
E01012933,188183,236017
E01012934,137564,158155
E01012935,211857,212220
E01012936,157128,162807
E01012937,192235,207703
E01012938,144202,148791
E01012939,208315,263623
E01012940,157124,176479
E01012941,144069,166681
E01012942,178803,217322
E01012943,116997,108591
E01012944,90898,125104
E01012945,123180,121262
E01012946,108494,168714
E01012947,163389,166898
E01012948,107603,119339
E01012949,117294,114954
E01012950,184029,241286
E01012951,176184,175771
E01012952,138423,153902
E01012953,164896,184530
E01012954,252845,270783
E01012955,199740,222792
E01012956,228893,253993
E01012957,136228,204545
E01012958,234818,238053
E01012959,169524,200667
E01012960,203545,253943
E01012961,243187,245983
E01012962,228040,241923
E01012963,191786,117813
E01012964,134719,146083
E01012965,274408,329577
E01012966,265908,240045
E01012967,299893,273470
E01012968,278500,320902
E01012969,248259,356479
E01012970,294708,307505
E01012972,252240,334852
E01012973,217040,209102
E01012974,174644,181520
E01012975,191831,192915
E01012976,146338,132893
E01012977,192971,223592
E01012978,221465,218802
E01012979,171768,159285
E01012980,125193,138998
E01012981,304361,331086
E01012982,178000,198217
E01012983,184372,183399
E01012984,252604,247515
E01012985,168323,206720
E01012986,160710,178944
E01012987,228092,271496
E01012988,206078,299628
E01012989,203186,240806
E01012990,275165,249269
E01012991,205705,279366
E01012992,197758,227422
E01012993,190506,206875
E01012994,135702,190500
E01012995,121803,133000
E01012996,215379,225967
E01012997,88623,101545
E01012998,182160,182458
E01012999,82800,83750
E01013000,90635,101794
E01013001,158694,156688
E01013002,92302,109542
E01013003,158266,189922
E01013004,107042,111235
E01013005,350916,354221
E01013006,146518,134244
E01013007,187416,190606
E01013008,138385,131958
E01013009,189976,202064
E01013010,164715,156154
E01013011,205719,184393
E01013012,308247,308605
E01013013,135644,138548
E01013014,150959,159813
E01013015,207606,211722
E01013016,295438,351842
E01013017,274113,252254
E01013018,165912,206473
E01013019,240292,261281
E01013020,274121,359708
E01013021,151368,142611
E01013022,378337,342810
E01013023,293858,295583
E01013024,167857,189821
E01013025,249087,280169
E01013026,228133,226414
E01013027,197104,270950
E01013028,193415,217607
E01013029,131229,154414
E01013030,197397,227497
E01013031,219982,250809
E01013032,163069,187330
E01013033,159613,160646
E01013034,211357,273063
E01013035,214011,211839
E01013036,173405,174369
E01013037,158600,165124
E01013038,128750,146939
E01013039,266390,296652
E01013040,194576,203090
E01013041,221489,229680
E01013042,261580,293442
E01013043,229607,226234
E01013044,244843,247119
E01013045,145139,154750
E01013046,183962,224194
E01013047,179469,155155
E01013048,204287,206575
E01013049,150400,212508
E01013050,197105,237843
E01013051,128465,161505
E01013052,268975,285195
E01013053,296530,330009
E01013054,223612,243872
E01013055,220563,242508
E01013056,210232,197276
E01013057,380267,419461
E01013058,273475,310329
E01013059,280103,311121
E01013060,308579,283704
E01013061,267972,258948
E01013062,229120,236613
E01013063,306473,340395
E01013064,245636,298971
E01013065,189277,212241
E01013066,272560,255152
E01013067,232165,288848
E01013068,413600,382417
E01013069,191749,177107
E01013070,418863,378188
E01013071,188950,225382
E01013072,177235,204725
E01013073,254120,249080
E01013074,173645,231820
E01013075,226865,252504
E01013076,161346,253870
E01013077,209768,248300
E01013078,192791,296955
E01013079,165842,185220
E01013080,88387,96667
E01013081,163685,203079
E01013082,136213,143208
E01013083,95816,89882
E01013084,107789,131071
E01013085,158521,161879
E01013086,155938,193132
E01013087,121886,205461
E01013088,495933,530769
E01013089,280930,338793
E01013090,241515,254058
E01013091,251424,310958
E01013092,257408,285108
E01013093,397802,463145
E01013094,184455,194821
E01013095,189375,214464
E01013096,193098,181626
E01013097,136496,139257
E01013098,197092,204832
E01013099,134157,128632
E01013100,184736,212639
E01013101,163698,164330
E01013102,145411,154478
E01013103,164491,155843
E01013104,161574,162866
E01013105,195900,215361
E01013106,144900,148450
E01013107,183563,187421
E01013108,295753,333913
E01013110,203350,220103
E01013111,226870,194923
E01013112,216481,271050
E01013113,189352,224611
E01013114,365975,478011
E01013115,177758,185094
E01013116,344968,381191
E01013117,296003,337928
E01013118,289794,325858
E01013119,451188,340000
E01013120,276703,247528
E01013121,267184,284920
E01013122,331700,425477
E01013123,191830,199078
E01013124,162458,167698
E01013125,232530,264684
E01013126,338004,333451
E01013127,396042,478707
E01032596,136431,127350
E01033495,182468,221650
E01033496,228452,298727
E01013128,108844,99886
E01013129,154028,156141
E01013130,126712,135054
E01013131,118017,111368
E01013132,159500,164482
E01013133,122747,164759
E01013134,128935,133588
E01013135,139425,137275
E01013136,,56036
E01013137,,
E01013138,40464,38850
E01013139,50813,62279
E01013140,50458,53806
E01013141,66053,69700
E01013142,55288,101929
E01013143,87493,77050
E01013144,75600,66350
E01013145,158944,195375
E01013146,152867,145920
E01013147,102161,84431
E01013148,172924,175350
E01013149,168197,137893
E01013150,151094,163953
E01013151,231107,238619
E01013152,259383,266086
E01013153,183531,203542
E01013154,178596,189203
E01013155,197628,215498
E01013156,219538,230154
E01013157,218815,260044
E01013158,113688,116403
E01013159,96442,118044
E01013160,125386,129500
E01013161,70767,74542
E01013162,73066,90021
E01013163,188279,216125
E01013164,109000,118094
E01013165,58025,63857
E01013166,204998,196019
E01013167,208289,238370
E01013168,238305,261324
E01013169,174737,190884
E01013170,216191,202685
E01013171,214213,248739
E01013172,193336,190125
E01013173,189919,208324
E01013174,58717,78262
E01013175,167060,179163
E01013176,110222,124196
E01013177,88550,94100
E01013178,128333,128600
E01013179,119600,136262
E01013180,126588,160300
E01013181,77711,76846
E01013182,218333,219360
E01013183,152043,144463
E01013184,139596,160333
E01013185,163528,175330
E01013186,200725,203950
E01013187,98375,162382
E01013188,144833,145759
E01013189,149427,165154
E01013190,175722,181141
E01013191,188532,219033
E01013192,163897,147783
E01013193,175682,179609
E01013194,183814,166432
E01013195,96022,92583
E01013196,70030,71778
E01013197,124917,132719
E01013198,117115,108593
E01013199,114045,94833
E01013200,141159,145998
E01013201,68573,68496
E01013202,72479,83018
E01013203,62542,61591
E01013204,116696,133700
E01013205,,
E01013206,103855,101561
E01013207,100409,111558
E01013208,68800,
E01013209,79000,101750
E01013210,,76349
E01013211,118761,113350
E01013212,,99143
E01013213,145918,160469
E01013214,292658,252942
E01013215,265289,336499
E01013216,187063,201566
E01013217,205596,223294
E01013218,46948,48477
E01013219,109386,99547
E01013220,63714,66667
E01013221,58258,64833
E01013222,54286,66458
E01013223,224765,227593
E01013224,154695,170068
E01013225,,417798
E01013226,194019,163467
